Title,Image,Price(Rs),Rating,Number of Reviews,Availability,Link,Resolution,Processor Brand,Processor Type,Processor Speed,Memory Technology,Hard Drive Size,Hard Disk Description,Graphics Coprocessor,Graphics Card Description,Graphics RAM Type,Operating System,Item Weight,Model Year,Computer Memory Type,Graphics Card Ram Size,Total USB ports,Battery Average Life
"HP Victus Gaming Laptop AMD Ryzen 5 5600H 15.6 inch(39.6 cm) FHD IPS Gaming Laptop (8GB RAM/512GB SSD/AMD Radeon RX 6500M Graphics(4GB GDDR6)/144Hz/9ms Response time/Backlit KB/B&O/Alexa),15-fb0777AX",https://m.media-amazon.com/images/I/41b3PmlPPuL._SX300_SY300_QL70_ML2_.jpg,59490,4.5,2,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNTU3MjQ4MTUyNzkyNTYxOjE2ODEwMTg5ODQ6c3BfYXRmOjIwMTQxNDk5MjY3Njk4OjowOjo&url=%2FHP-Graphics-Response-Backlit-15-fb0777AX%2Fdp%2FB0BSG1S3GN%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2HIK3N7L03AWH%26keywords%3Dgaming%2Blaptop%26qid%3D1681018984%26sprefix%3D%252Caps%252C683%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,1920x1080 Pixels,AMD,Ryzen 5,4.2 GHz,DDR4,512 GB,SSD,AMD Radeon RX 6500M,Dedicated,GDDR6,Windows 11 Home,2 kg 370 g,,,,,
"HP Pavilion Gaming 11th Gen Intel Core i5 15.6""(39.6cm) FHD Gaming Laptop (8GB RAM/512GB SSD/RTX 3050 4GB Graphics/144 Hz/B&O/Windows 10 Home/MS Office/2.23Kg), 15-dk2012TX, Black",https://m.media-amazon.com/images/I/41j6O0FtwTL._SX300_SY300_QL70_ML2_.jpg,69057,3.8,39,In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyNTU3MjQ4MTUyNzkyNTYxOjE2ODEwMTg5ODQ6c3BfYXRmOjIwMDU4NTgxNDcyMzk4OjowOjo&url=%2FHP-Pavilion-Graphics-Windows-15-dk2012TX%2Fdp%2FB09J2GR7X3%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2HIK3N7L03AWH%26keywords%3Dgaming%2Blaptop%26qid%3D1681018984%26sprefix%3D%252Caps%252C683%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,1920 X 1080 (FHD) Pixels,Intel,Core i5,4.4 GHz,,512 GB,SSD,NVIDIA GeForce RTX 3050,Dedicated,GDDR6,Windows 10 Home,2 kg 230 g,2021,DDR4 SDRAM,4,3,
"MSI Raider GE78HX, Intel 13th Gen. i7-13700HX, 43CM QHD+ 240Hz Gaming Laptop (32GB/2TB NVMe SSD/Windows 11 Home/Nvidia GeForce RTX4080, 12GB GDDR6/Black/3.1Kg), 13VH-089IN",https://m.media-amazon.com/images/I/41lshLcdFxL._SX300_SY300_QL70_ML2_.jpg,405850,0,0,Only 1 left in stock,https://www.amazon.in/MSI-i7-13700HX-Windows-GeForce-13VH-089IN/dp/B0BTVX2TSZ/ref=sr_1_3?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681018984&sprefix=%2Caps%2C683&sr=8-3,,Intel,Intel Core i7,5 GHz,DDR5,32 GB,SSD,"NVIDIA GeForce RTX 4080, GDDR6 12GB",Dedicated,GDDR6,Windows 11 Home,3 kg 100 g,,,,,
"ASUS TUF Gaming A15, 15.6""(39.62 cms) FHD 144Hz, AMD Ryzen 5 4600H,4GB GeForce GTX 1650 Laptop(8GB/512GB SSD/Win11/Black/2.3 Kg),FA506IHRZ-HN111W,5% Instant Off on APay ICICI CreditCard (Prime only)",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41LDfnScXZS._SX300_SY300_QL70_ML2_.jpg,59990,4.3,220,In stock,https://www.amazon.in/ASUS-15-6-inch-GeForce-Windows-FA506IHRZ-HN111W/dp/B0B5DZTNZQ/ref=sr_1_4?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681018984&sprefix=%2Caps%2C683&sr=8-4,1920 X 1080 (FHD) Pixels,AMD,Ryzen 5,4 GHz,,,SSD,NVIDIA GeForce GTX 1650,Dedicated,GDDR6,Windows 11 Home,2 kg 300 g,2022,SODIMM,4 GB,4,8 Hours
"Hp Pavilion Gaming 15-Amd Ryzen 5 15.6 Inches Micro-Edge, Ips, Anti-Glare, Fhd Display (8Gb Ram/512 Gb Ssd/144 Hz/ Rtx 3050Ti 4Gb Graphics/B&O Audio/Windows 11 Home/Ms Office)15-Ec2048Ax, Shadow Black",https://m.media-amazon.com/images/I/41j6O0FtwTL._SX300_SY300_QL70_ML2_.jpg,67490,4.2,48,In stock,https://www.amazon.in/Pavilion-Micro-Edge-Anti-Glare-Graphics-15-Ec2048Ax/dp/B09SQ2KK4B/ref=sr_1_5?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681018984&sprefix=%2Caps%2C683&sr=8-5,1920 X 1080 (FHD) Pixels,AMD,AMD Ryzen 5 5600X,4.2 GHz,,,SSD,NVIDIA GeForce RTX 3050 Ti,Dedicated,GDDR6,Windows 11 Home,1 kg 980 g,2022,,4 GB,3,4 Hours
"HP Victus Gaming Latest AMD Ryzen 5 5600H Processor 16.1 inch(40.9 cm) FHD Gaming Laptop (8GB RAM/512GB SSD/4GB Radeon RX5500M Graphics/B&O/Backlit KB/Win 11/MS Office/Xbox Game Pass),16-E0162ax",https://m.media-amazon.com/images/I/41nJB6T+aKL._SY300_SX300_.jpg,55990,4.3,1340,In stock,https://www.amazon.in/HP-RX5500M-Graphics-Flicker-16-e0162AX/dp/B098QBT5KT/ref=sr_1_6?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681018984&sprefix=%2Caps%2C683&sr=8-6,1920 X 1080 (FHD) Pixels,AMD,Ryzen 5,3.3 GHz,,,SSD,AMD Radeon RX 5500M,Dedicated,GDDR6,Windows 10 Home,2 kg 480 g,2021,,4 GB,4,4 Hours
"MSI Gaming Sword 15, Intel 12th Gen. i5-12500H, 40CM FHD 144Hz Gaming Laptop (16GB/1TB NVMe SSD/Windows 11 Home/Nvidia RTX 3050 4GB GDDR6/ Black/2.6Kg), A12UC-467IN",https://m.media-amazon.com/images/I/41XOiBoSknL._SX300_SY300_QL70_ML2_.jpg,95000,4.4,85,In stock,https://www.amazon.in/MSI-Gaming-i5-12500H-Windows-A12UC-467IN/dp/B09Y8W454V/ref=sr_1_7?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681018984&sprefix=%2Caps%2C683&sr=8-7,"1080p, 1280 x 720",,Intel Core i7,4.5 GHz,,,SSD,NVIDIA GeForce RTX 3050,Dedicated,,Windows 11 Home,2 kg 600 g,2022,DDR4 SDRAM,4 GB,4,
"HP Victus Gaming Laptop AMD Ryzen 5 5600H 15.6 inch(39.6 cm) FHD IPS Gaming Laptop (16GB RAM/512GB SSD/NVIDIA GeForce RTX 3050 4GB Graphics/144Hz/9ms Response time/Backlit KB/B&O/Alexa),15-fb0106AX",https://m.media-amazon.com/images/I/31Md9jMjEeL._SX300_SY300_QL70_ML2_.jpg,69990,4.5,59,In stock,https://www.amazon.in/HP-GeForce-Graphics-Response-15-fb0106AX/dp/B0BWS9YNCX/ref=sr_1_8?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681018984&sprefix=%2Caps%2C683&sr=8-8,1920x1080 Pixels,AMD,AMD Ryzen 5 5600X,4.2 GHz,,512 GB,SSD,NVIDIA GeForce RTX 3050,Dedicated,GDDR6,Windows 11 Home,2 kg 370 g,2023,,,3,
"MSI Katana GF66, Intel 12th Gen. i7-12650H, 40CM FHD 144Hz Gaming Laptop (16GB/1TB NVMe SSD/Windows 11 Home/Nvidia RTX3060 6GB GDDR6/Black/2.25Kg), 12UE-1002IN",https://m.media-amazon.com/images/I/41qZ0OciwnL._SX300_SY300_QL70_ML2_.jpg,106261,4.1,5,In stock,https://www.amazon.in/MSI-i7-12650H-Windows-RTX3060-12UE-1002IN/dp/B0B8ZMDSNT/ref=sr_1_9?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681018984&sprefix=%2Caps%2C683&sr=8-9,"1080p, 1280 x 720",Intel,Intel Core i7,4400 MHz,,1 TB,SSD,NVIDIA GeForce RTX 3060,Dedicated,GDDR6,Windows 11 Home,2 kg 250 g,2022,DDR4 SDRAM,6 GB,4,
"MSI Katana GF76, Intel 11th Gen i7-11800H, 43cm FHD 144 Hz Gaming Laptop(16GB/512GB NVMe SSD/Win11 Home/Nvidia RTX3060 6GB GDDR6/2.6Kg), 11UE-485IN, 5% Instant off on APay ICICI CreditCard(Prime only)",https://m.media-amazon.com/images/I/416lZVbhT5L._SX300_SY300_QL70_ML2_.jpg,99500,4.5,9,Only 1 left in stock,https://www.amazon.in/MSI-i7-11800H-Windows-RTX3060-11UE-485IN/dp/B0B8ZMNZ6L/ref=sr_1_10?crid=2HIK3N7L03AWH&keywords=gaming+laptop&qid=1681018984&sprefix=%2Caps%2C683&sr=8-10,"1080p, 1280 x 720",Intel,Intel Core i7,4600 MHz,,512 GB,SSD,NVIDIA GeForce RTX 3060,Dedicated,GDDR6,Windows 11 Home,2 kg 600 g,2022,,,4,
